,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
311,1,9.89,-0.43,0.96242,0.236,3.79,4.293,12.2,0.038,0.0,16.381,15.909,15.426,15.16,15.128,0.962
312,1,9.89,-0.41,0.52485,-1.202,3.627,4.815,7.9,0.035,0.0,15.676,15.137,14.116,13.468,13.348,0.525
313,1,9.89,-0.37,0.21642,-2.098,3.566,5.08,10.6,0.038,0.0,20.614,20.151,18.879,18.32,18.117,0.216
314,1,9.89,-0.35,0.89082,-0.044,3.767,4.447,10.3,0.038,0.0,15.179,14.656,14.111,13.797,13.758,0.891
315,1,9.89,-0.33,0.14995,-2.539,3.513,5.15,9.0,0.037,0.0,20.117,19.817,18.264,17.71,17.47,0.15
316,1,9.89,-0.33,0.43297,-1.471,3.602,4.897,11.1,0.038,0.0,19.547,19.018,17.906,17.289,17.146,0.433
317,1,9.89,-0.33,0.51927,-1.238,3.621,4.821,12.5,0.038,0.0,20.365,19.834,18.784,18.135,18.01,0.519
318,1,9.89,-0.31,0.77073,-0.464,3.715,4.593,9.7,0.038,0.0,15.629,15.048,14.335,13.893,13.831,0.771
319,1,9.89,-0.29,0.40954,-1.536,3.595,4.912,9.7,0.038,0.0,18.309,17.792,16.643,16.038,15.886,0.41
320,1,9.89,-0.29,0.35096,-1.702,3.586,4.976,11.2,0.038,0.0,20.224,19.719,18.53,17.949,17.781,0.351
321,1,9.89,-0.29,0.46917,-1.385,3.607,4.867,11.6,0.038,0.0,19.832,19.306,18.206,17.576,17.439,0.469
322,1,9.89,-0.27,0.59127,-1.05,3.636,4.751,10.5,0.038,0.0,17.895,17.358,16.356,15.705,15.596,0.591
